symbol,entrez_id
RP11-291L22.4,
PRPF40B,25766
RP11-524O1.4,
HSD52,729467
SNORD37,26812
RP11-310H4.1,
C20orf144,128864
RP11-159J3.1,
DNAAF2,55172
PRKACA,5566
FEN1,2237
H1-4,3008
LHFPL5,222662
RP5-1120P11.1,
TXLNB,167838
RN7SL223P,106481754
RP11-308N19.1,
ITCH-AS1,
ITCH-AS1,106480737
C17orf58,284018
RP4-655L22.5,
ZNF818P,
ZNF818P,390963
RP11-219E7.1,
PDX1-AS1,
HMGA1P6,
HMGA1P6,100130029
CEND1P1,
CEND1P1,122631
SMIM1,388588
AC073310.4,
RNA5SP304,100873578
AC006926.1,
RP11-651J20.1,
RBP3,5949
AC015987.1,
PNLIPRP2,5408
ZBTB12BP,
ZBTB12BP,100499252
LBX1-AS1,399806
MTATP6P19,107075275
GOLGA8DP,100132979
ADAMTS7P4,642935
CICP22,
CICP22,100288083
CH507-39O4.2,
RP11-57H12.2,
SPINT5P,140863
ATOH8,84913
RP11-140M13.1,
RP11-245J9.5,
FAM228A,653140
TRBV7-5,28593
TRBV7-5,
CRHBP,1393
MIR23C,100500809
MIR4470,100616484
MEF2C,4208
CYP24A1,1591
HSD3BP1,
HSD3BP1,391076
TMPRSS4,56649
RP11-508N22.10,
CHCHD6,84303
LOC388436,388436
LL22NC03-22A12.12,
FAM197Y8,
FAM197Y8,105379268
FAM197Y8,
RHOF,54509
BMPR2,659
BST2,684
AL137164.1,
CTD-2005H7.1,
AC104655.2,
NAGPA,51172
EPHA8,2046
MIR6853,102466201
RP4-635A23.3,
RP11-738O11.13,
IGLV2-5,
IGLV2-5,28818
H2AZ1-DT,
H2AZ1-DT,256880
RP11-165J3.6,
MRPS9,64965
AC008269.2,
SNORD34,26817
EEF1GP6,100421733
RP11-66H6.4,
RN7SL630P,106481094
AC009313.1,
USP53,54532
RP11-6N17.6,
EFCAB14-AS1,100130197
RP11-555J4.4,
RP11-798K23.5,
LOC643923,
RP5-994D16.9,
RP11-143N13.3,
AC018892.9,
EFCAB12,90288
LAP3P1,100873864
RP11-526P5.1,
AC128709.3,
LOC285692,
RP11-143G3.1,
IGHJ6,28475
IGHJ6,
RP4-614O4.13,
DLG3-AS1,100873930
RP11-296A18.6,
SNCAIP,9627
LYVE1,10894
HTR3B,9177
TCEB1P14,
RNF215,200312
IFI44L,10964
AL512385.1,
BACH1-AS1,
BACH1-AS1,106478962
FOXO4,4303
MIR1913,100302141
RPL35AP33,
RPL35AP33,100271634
LINC01323,106635527
RNU6-4P,106478914
AC140542.2,
GAPDHP36,647249
MIR3128,100422824
RP11-690C23.3,
OR2T6,254879
UBE2CP2,646595
CTC-453G23.5,
CPXM2,119587
PEX26,55670
RP11-566K11.4,
MIR23B,407011
AC008449.1,
RNF149,284996
AP001347.6,
H1-3,3007
IGHV3-30-2,
IGHV3-30-2,28438
RUVBL1,8607
MIR4471,100616451
KRT17P5,
KRT17P5,
KRT17P5,339240
MIR3171,100422830
MCTS2P,
FABP5P14,
FABP5P14,100873957
PCSK9,255738
FOXCUT,
FOXCUT,101927703
MEIS3P2,
MEIS3P2,257468
FAM20A,54757
PPP6R3,55291
LINC00094,
GAS2L1P1,
GAS2L1P1,124902155
SLC25A6P4,100422690
RP11-794P6.6,
RP11-117O7.2,
C18orf42,
SELP,6403
MUC8,100129528
RP11-661O13.1,
RNF146,81847
RP1-257I20.14,
RNA5SP329,100873595
RNU6-293P,106481271
CTD-2132H18.3,
MEA1,4201
AC022384.2,
RP11-379K17.2,
LAIR1,3903
AC119751.4,
RP11-336A10.5,
RNU4-85P,106479597
ANKLE1,126549
LOC101927394,101927394
DBNL,28988
ISCA1P3,
ISCA1P3,100131092
SLCO2B1,11309
AC005625.1,
U82671.8,
ITGB4,3691
RPL35P5,441246
RNU6-1052P,106480028
RP11-1042B17.2,
RP1-31B8.1,
RP11-141J13.5,
IGKV2D-19,28887
NTF6B,
NTF6B,4911
NUP160,23279
MTND2P29,100873233
POLR1D,51082
SNAP47,116841
RN7SKP51,106479117
CTD-2297D10.2,
RP3-499B10.3,
TMEM51,55092
CTC-503J8.4,
SMARCAD1,56916
AL049779.1,
TRHR,7201
RNU2-37P,106480213
NOL8P1,402191
RP11-79C6.1,
IGHD4-17,28494
IGHD4-17,
CTD-2132H18.5,
TNIK,23043
CTD-2281E23.2,
ZNF861P,100302737
AC016907.2,
UBE2NL,389898
RP11-417J1.8,
CHI3L1,1116
IGHJ1P,28482
IGHJ1P,
MTND5P27,100873264
KIN,22944
RP11-74C1.4,
RP11-177H13.2,
PAX8,7849
ZSCAN16-AS1,100129195
AC016559.1,
ATP7A,538
RP6-43L17.1,
SEPT14P9,
PCDHGA2,56113
AC002539.2,
RP11-100G15.4,
RP11-569G9.7,
GAPDHP71,
GAPDHP71,2613
RP11-149I9.2,
C10orf95-AS1,100505761
ZNF664-RFLNA,100533183
GAL3ST3,89792
TPTE2P6,
TPTE2P6,374491
RNU6-690P,106481398
CCL25,6370
CCNG1,900
TOM1L1,10040
TOMM40L,84134
ATP5MD,
